Outcode,Postcode,Number_meters,Total_consumption_kwh,Mean_consumption_kwh,Median_consumption_kwh
AB,"AB10 7GB",59,411223,6969.89,6918.54
AB,"AB10 7GF",45,624450,13876.66,13176.36
AB,"AB10 7GH",6,50418,8402.99,7746.44
AB,"AB10 7GL",5,24169,4833.72,5693.46
AB,"AB10 7GR",22,192198,8736.3,7570.75
AB,"AB10 7GS",28,199693,7131.9,5017.97
AB,"AB10 7GT",9,82960,9217.83,9109.93
AB,"AB10 7GU",19,163478,8604.11,7944.66
AB,"AB10 7GX",25,542562,21702.48,21214.12
AB,"AB10 7GY",22,198569,9025.85,9300.14
AB,"AB10 7HA",18,253562,14086.76,13770.51
AB,"AB10 7HB",36,323983,8999.53,8565.34
AB,"AB10 7HD",54,478278,8856.99,8245.01
AB,"AB10 7HE",11,125386,11398.69,9640.51
AB,"AB10 7HF",20,129997,6499.83,5817.84
AB,"AB10 7HH",18,258383,14354.64,13454.17
AB,"AB10 7HJ",42,436371,10389.79,10519.97
AB,"AB10 7HN",25,332006,13280.24,13616.84
AB,"AB10 7HP",21,290951,13854.79,14261.55
AB,"AB10 7HQ",14,135221,9658.63,8857.15
AB,"AB10 7HR",33,433794,13145.28,12870.03
AB,"AB10 7HS",17,218333,12843.11,12649.79
AB,"AB10 7HT",22,166791,7581.41,7513.33
AB,"AB10 7HU",32,270804,8462.62,7713.91
AB,"AB10 7HX",10,150132,15013.16,13620.35
AB,"AB10 7HY",19,254337,13386.13,12748.9
AB,"AB10 7JA",18,252116,14006.43,13006.68
AB,"AB10 7JB",8,93225,11653.08,12312.42
AB,"AB10 7JD",22,286172,13007.81,12109.7
AB,"AB10 7JE",8,164288,20535.94,13129.55
AB,"AB10 7JF",13,217236,16710.43,18161.8
AB,"AB10 7JG",18,257646,14313.64,14524.33
AB,"AB10 7JH",33,564158,17095.69,15931.29
AB,"AB10 7JN",31,487738,15733.47,10880.88
AB,"AB10 7JP",14,118328,8451.98,8505.27
AB,"AB10 7JQ",51,526428,10322.11,8146.88
AB,"AB10 7JR",56,510877,9122.8,7092.23
AB,"AB10 7JS",32,269897,8434.28,8772.09
AB,"AB10 7JT",31,261075,8421.78,8273.02
AB,"AB10 7JU",6,98267,16377.89,17046.58
AB,"AB10 7JW",16,283743,17733.96,17222.27
AB,"AB10 7JX",31,265375,8560.49,9451.3
AB,"AB10 7JY",27,328381,12162.25,10850.83
AB,"AB10 7JZ",8,133920,16740,16400.38
AB,"AB10 7LA",36,322765,8965.7,8294.04
AB,"AB10 7LB",37,401146,10841.78,9521.38
AB,"AB10 7LD",33,266412,8073.1,6930.55
AB,"AB10 7LE",20,453750,22687.52,20471.31
AB,"AB10 7LF",14,244217,17444.09,15324.7
AB,"AB10 7LH",51,628881,12331,9686.56
AB,"AB10 7LJ",27,423808,15696.59,14841.18
AB,"AB10 7LL",12,190773,15897.75,14481.28
AB,"AB10 7LN",5,194699,38939.84,34456.56
AB,"AB10 7LP",10,249716,24971.62,26872.29
AB,"AB10 7LQ",13,256378,19721.42,14827.16
AB,"AB10 7LR",14,322230,23016.45,22859.92
AB,"AB10 7LT",40,868701,21717.52,21233.14
AB,"AB10 7LU",45,336545,7478.78,7401.6
AB,"AB10 7LW",7,83336,11905.15,12456.58
AB,"AB10 7LX",39,744660,19093.84,19769.55
AB,"AB10 7LY",10,70787,7078.72,5867.4
AB,"AB10 7NA",13,234719,18055.3,17869.48
AB,"AB10 7NB",5,31806,6361.13,5961.5
AB,"AB10 7ND",8,170490,21311.23,20692.55
AB,"AB10 7NE",6,140236,23372.64,22822.38
AB,"AB10 7NF",19,228667,12035.12,9013.83
AB,"AB10 7NG",17,390309,22959.38,22906.97
AB,"AB10 7NH",5,146623,29324.56,29624.29
AB,"AB10 7NJ",50,1043761,20875.21,19510.27
AB,"AB10 7NL",9,108389,12043.24,8433.19
AB,"AB10 7NN",27,663795,24584.98,24689.91
AB,"AB10 7NP",25,439596,17583.85,16493.98
AB,"AB10 7NQ",16,358547,22409.18,19992.79
AB,"AB10 7NR",25,483976,19359.02,19099.82
AB,"AB10 7NS",23,377657,16419.85,17372.94
AB,"AB10 7NT",17,312620,18389.4,19692.46
AB,"AB10 7NU",27,617794,22881.27,22623.66
AB,"AB10 7NW",21,375818,17896.08,16908.43
AB,"AB10 7NX",22,428658,19484.47,18036.66
AB,"AB10 7NY",20,364121,18206.04,17063.1
AB,"AB10 7NZ",16,252338,15771.13,17243.3
AB,"AB10 7PA",21,217765,10369.76,8650.43
AB,"AB10 7PB",16,132218,8263.63,7732.93
AB,"AB10 7PD",13,387155,29781.15,31555.4
AB,"AB10 7PG",16,207317,12957.31,12290.9
AB,"AB10 7PH",14,312820,22344.28,25133.9
AB,"AB10 7PL",20,455846,22792.29,21752.71
AB,"AB10 7PP",13,263424,20263.39,19824.61
AB,"AB10 7PQ",12,238078,19839.79,19784.57
AB,"AB10 7PR",28,625931,22354.69,20304.13
AB,"AB10 7PS",30,657617,21920.56,23932.09
AB,"AB10 7PT",30,708204,23606.81,24186.86
AB,"AB10 7PU",13,339022,26078.63,22553.58
AB,"AB10 7PY",5,183892,36778.49,31365.19
AB,"AB10 7QF",46,367931,7998.5,7106.25
AB,"AB10 7UG",22,132800,6036.35,5759.78
AB,"All postcodes",9987,113910402,11405.87,9030.84
AB,"AB11 5AB",10,84681,8468.13,6092.14
AB,"AB11 5AD",18,176237,9790.97,9680.55
AB,"AB11 5AH",21,198349,9445.18,8717.5
AB,"AB11 5AJ",8,101972,12746.45,11860.65
AB,"AB11 5AL",13,103302,7946.28,4431.83
AB,"AB11 5AP",36,308367,8565.74,6659.26
AB,"AB11 5AT",7,63139,9019.83,7064.7
AB,"AB11 5AU",9,62510,6945.57,7665.36
AB,"AB11 5BB",7,116810,16687.11,16252.72
AB,"AB11 5BE",15,177463,11830.87,7033.67
AB,"AB11 5BL",13,205724,15824.94,10077.99
AB,"AB11 5BQ",6,100522,16753.59,17305.86
AB,"AB11 5BT",6,34426,5737.7,4671.95
AB,"AB11 5DN",5,218105,43620.96,54306.99
AB,"AB11 5DQ",7,173017,24716.66,22365.38
AB,"AB11 5DR",16,111834,6989.62,5785.31
AB,"AB11 5DS",19,233027,12264.58,12407.52
AB,"AB11 5DT",27,419072,15521.18,14981.33
AB,"AB11 5DU",7,116849,16692.77,17740.34
AB,"AB11 5DX",29,403829,13925.14,9623.49
AB,"AB11 5ER",44,250423,5691.44,5019.97
AB,"AB11 5EU",5,25807,5161.43,4443.84
AB,"AB11 5FD",5,65356,13071.2,12749.9
AB,"AB11 5FP",18,136161,7564.52,7616.3
AB,"AB11 5GD",5,61679,12335.85,12388.5
AB,"AB11 5GE",24,107780,4490.83,4925.91
AB,"AB11 5GJ",8,88339,11042.43,5995.54
AB,"AB11 5HP",52,385241,7408.49,6063.59
AB,"AB11 5HR",7,91147,13021.05,8156.89
AB,"AB11 5HS",30,217331,7244.37,7574.36
AB,"AB11 5HX",6,90098,15016.37,15016.37
AB,"AB11 5PP",18,144325,8018.06,9149.97
AB,"AB11 5PQ",8,157122,19640.19,13482.2
AB,"AB11 5PY",8,54047,6755.88,7209.36
AB,"AB11 5QN",18,131419,7301.03,5976.53
AB,"AB11 5QP",15,127047,8469.8,5180.87
AB,"AB11 6AW",38,291315,7666.17,6542.13
AB,"AB11 6AY",19,220140,11586.31,9624.49
AB,"AB11 6BH",6,56758,9459.64,11543.58
AB,"AB11 6BR",7,101781,14540.2,8739.53
AB,"AB11 6BT",8,148642,18580.22,14307.37
AB,"AB11 6BX",5,179840,35967.92,40774.59
AB,"AB11 6DA",6,101930,16988.33,12618.25
AB,"AB11 6DD",57,341222,5986.35,5459.95
AB,"AB11 6DE",14,212007,15143.35,4631.05
AB,"AB11 6DJ",24,611142,25464.27,19609.37
AB,"AB11 6DL",9,117957,13106.3,5569.07
AB,"AB11 6DN",6,64102,10683.65,5163.13
AB,"AB11 6DP",20,250396,12519.78,7909.12
AB,"AB11 6DQ",6,111167,18527.86,18333.48
AB,"AB11 6DS",32,258359,8073.71,6105.15
AB,"AB11 6DU",10,287362,28736.22,29147.27
AB,"AB11 6DY",29,265930,9170,6394.97
AB,"AB11 6EB",14,113055,8075.39,7985.2
AB,"AB11 6ED",21,354605,16885.94,11500.54
AB,"AB11 6EE",10,230082,23008.24,22126.12
AB,"AB11 6EF",30,286722,9557.41,8237.29
AB,"AB11 6EG",18,95779,5321.08,3209
AB,"AB11 6EH",19,206333,10859.63,7499.17
AB,"AB11 6EJ",10,134901,13490.1,10970.96
AB,"AB11 6EL",14,417285,29806.05,24786.3
AB,"AB11 6EN",9,130357,14484.16,4438.32
AB,"AB11 6ER",23,156452,6802.24,6310.88
AB,"AB11 6ES",11,103118,9374.4,10110.02
AB,"AB11 6ET",6,60132,10021.92,9886.78
AB,"AB11 6EW",32,337218,10538.07,7786.49
AB,"AB11 6EX",5,99537,19907.5,15016.37
AB,"AB11 6EY",22,129219,5873.58,6237.3
AB,"AB11 6FG",35,219969,6284.83,5139.6
AB,"AB11 6FJ",6,41507,6917.87,4746.17
AB,"AB11 6FL",42,310325,7388.7,6300.37
AB,"AB11 6HA",21,244360,11636.19,7628.31
AB,"AB11 6HB",24,255395,10641.48,10490.43
AB,"AB11 6HD",24,242938,10122.4,6536.12
AB,"AB11 6HE",18,306171,17009.48,13136.32
AB,"AB11 6HJ",15,360761,24050.74,23431.18
AB,"AB11 6HL",24,181162,7548.44,5427.92
AB,"AB11 6HN",12,162309,13525.78,12058.14
AB,"AB11 6HP",16,182970,11435.63,9302.14
AB,"AB11 6HQ",14,145582,10398.74,9529.52
AB,"AB11 6HR",6,79686,13280.94,12207.56
AB,"AB11 6HS",9,135810,15089.96,10134.05
AB,"AB11 6HT",12,146335,12194.57,11414.61
AB,"AB11 6HX",12,70503,5875.24,5329.31
AB,"AB11 6JA",22,158386,7199.36,5402.89
AB,"AB11 6JB",31,259114,8358.51,7444.11
AB,"AB11 6JD",33,319400,9678.79,10025.93
AB,"AB11 6JE",18,90801,5044.47,4723.65
AB,"AB11 6JG",7,41032,5861.67,5572.07
AB,"AB11 6JH",43,424928,9882.05,7281.94
AB,"AB11 6JJ",16,206905,12931.54,9825.71
AB,"AB11 6JL",12,202997,16916.45,10013.92
AB,"AB11 6JN",8,102742,12842.69,12656.3
AB,"AB11 6JR",37,223896,6051.24,4195.57
AB,"AB11 6JS",16,63329,3958.09,3358.16
AB,"AB11 6JY",11,175222,15929.27,14473.78
AB,"AB11 6JZ",21,335674,15984.46,14462.36
AB,"AB11 6LA",43,431594,10037.08,7815.52
AB,"AB11 6LD",57,391857,6874.69,7235.89
AB,"AB11 6LG",22,141362,6425.54,5825.85
AB,"AB11 6LJ",18,156851,8713.94,8123.35
AB,"AB11 6LL",32,236233,7382.3,7138.64
AB,"AB11 6LN",86,746560,8680.93,7299.46
AB,"AB11 6LQ",18,205155,11397.48,11471
AB,"AB11 6LR",27,437932,16219.71,13838.08
AB,"AB11 6LS",24,502068,20919.48,17306.67
AB,"AB11 6LU",18,156383,8687.97,7101.74
AB,"AB11 6LW",8,79246,9905.73,6188.06
AB,"AB11 6NT",20,120146,6007.3,5666.4
AB,"AB11 6PH",10,186885,18688.45,14982.83
AB,"AB11 6QD",30,186715,6223.82,6563.15
AB,"AB11 6RG",13,132233,10171.78,9371.21
AB,"AB11 6RR",21,424300,20204.79,20883.76
AB,"AB11 6SQ",45,360844,8018.76,7627.31
AB,"AB11 6SR",24,147043,6126.78,5297.27
AB,"AB11 6SS",25,384936,15397.42,8129.86
AB,"AB11 6SY",56,421255,7522.4,6083.63
AB,"AB11 6SZ",76,480233,6318.85,5603.11
AB,"AB11 6TA",7,54592,7798.79,9135.96
AB,"AB11 6TB",9,59265,6584.96,4859.3
AB,"AB11 6TD",9,41784,4642.62,4661.08
AB,"AB11 6TE",5,41638,8327.68,6678.28
AB,"AB11 6TF",65,396004,6092.37,5760.28
AB,"AB11 6TG",78,479488,6147.28,5414.4
AB,"AB11 6TH",16,270695,16918.44,17138.18
AB,"AB11 6TJ",60,383523,6392.04,6179.24
AB,"AB11 6TL",47,781660,16631.06,13521.74
AB,"AB11 6TP",25,355738,14229.53,10879.86
AB,"AB11 6TQ",31,643741,20765.83,20943.83
AB,"AB11 6TR",34,264624,7783.05,6938.56
AB,"AB11 6TS",14,151680,10834.26,9769.15
AB,"AB11 6TT",28,506077,18074.17,16960.49
AB,"AB11 6TX",24,739753,30823.04,32065.36
AB,"AB11 6TZ",6,31452,5242.08,3637.56
AB,"AB11 6UA",9,212837,23648.54,24859.1
AB,"AB11 6UB",14,297267,21233.36,20748.12
AB,"AB11 6UG",5,48124,9624.74,8605.38
AB,"AB11 6UJ",25,430928,17237.11,10380.31
AB,"AB11 6UL",20,267114,13355.71,10430.87
AB,"AB11 6UP",37,387319,10468.07,9632.5
AB,"AB11 6UQ",48,397490,8281.04,8035.26
AB,"AB11 6US",32,149186,4662.05,4555.97
AB,"AB11 6UT",47,230845,4911.59,4589
AB,"AB11 6UW",46,191609,4165.41,3686.52
AB,"AB11 6UX",21,238704,11366.88,10407.34
AB,"AB11 6UY",23,227206,9878.5,9787.67
AB,"AB11 6WF",50,358968,7179.35,7052.69
AB,"AB11 6WH",49,374237,7637.49,7595.28
AB,"AB11 6XA",12,137978,11498.2,10770.74
AB,"AB11 6XB",11,60722,5520.2,5249.72
AB,"AB11 6XD",34,343981,10117.09,8868.22
AB,"AB11 6XE",11,99336,9030.54,7499.17
AB,"AB11 6XJ",22,218843,9947.42,9817.7
AB,"AB11 6XL",25,269523,10780.91,6705.31
AB,"AB11 6XN",25,208057,8322.26,5057.51
AB,"AB11 6XP",19,192727,10143.55,10794.77
AB,"AB11 6XQ",44,282029,6409.75,6014.56
AB,"AB11 6XR",53,397334,7496.87,6100.65
AB,"AB11 6XS",38,356940,9393.15,9170
AB,"AB11 6XT",45,393730,8749.56,9017.83
AB,"AB11 6XW",36,412585,11460.69,10695.66
AB,"AB11 6XX",38,339418,8932.06,7612.8
AB,"AB11 6YA",16,90418,5651.1,5812.34
AB,"AB11 6YB",29,211784,7302.89,6746.35
AB,"AB11 6YD",11,101753,9250.26,9483.34
AB,"AB11 6YH",39,367916,9433.73,8799.59
AB,"AB11 6YU",16,190678,11917.39,7575.26
AB,"AB11 7DF",66,521276,7898.12,6576.17
AB,"AB11 7DG",65,444880,6844.31,6478.06
AB,"AB11 7LG",17,116385,6846.17,6380.96
AB,"AB11 7RQ",8,92390,11548.76,7999.72
AB,"AB11 7RS",67,705658,10532.2,8606.38
AB,"AB11 7RT",7,298951,42707.33,43542.46
